,stateZ_timestamp,cf_x,cf_y,cf_z,obs_x,obs_y,obs_z,obs_temp_x,obs_temp_y,obs_temp_z
672,117934.0,0.004,-0.003,0.031,,,,,,
673,117944.0,0.005,-0.003,0.03,,,,,,
674,117954.0,0.005,-0.003,0.03,,,,,,
675,117964.0,0.004,-0.003,0.03,,,,,,
676,117974.0,0.004,-0.003,0.029,,,,,,
677,117984.0,0.004,-0.003,0.029,,,,,,
678,117994.0,0.004,-0.003,0.03,,,,,,
679,118004.0,0.004,-0.003,0.03,,,,,,
680,118014.0,0.004,-0.003,0.03,,,,,,
681,118024.0,0.003,-0.003,0.03,,,,,,
682,118034.0,0.003,-0.003,0.03,,,,,,
683,118044.0,0.003,-0.003,0.03,,,,,,
684,118054.0,0.005,-0.003,0.03,,,,,,
685,118064.0,0.006,-0.003,0.03,,,,,,
686,118074.0,0.006,-0.003,0.03,,,,,,
687,118084.0,0.006,-0.003,0.031,,,,,,
688,118094.0,0.005,-0.003,0.031,,,,,,
689,118104.0,0.006,-0.003,0.031,,,,,,
690,118114.0,0.006,-0.003,0.031,,,,,,
691,118124.0,0.004,-0.003,0.031,,,,,,
692,118134.0,0.005,-0.003,0.032,,,,,,
693,118144.0,0.004,-0.003,0.032,,,,,,
694,118154.0,0.004,-0.003,0.032,,,,,,
695,118164.0,0.004,-0.003,0.032,,,,,,
696,118174.0,0.004,-0.003,0.032,,,,,,
697,118184.0,0.004,-0.003,0.032,,,,,,
698,118194.0,0.005,-0.003,0.032,,,,,,
699,118204.0,0.005,-0.003,0.033,,,,,,
700,118214.0,0.005,-0.003,0.033,,,,,,
701,118224.0,0.005,-0.003,0.033,,,,,,
702,118234.0,0.005,-0.003,0.033,,,,,,
703,118244.0,0.004,-0.003,0.033,,,,,,
704,118254.0,0.004,-0.003,0.032,,,,,,
705,118264.0,0.004,-0.003,0.032,,,,,,
706,118274.0,0.004,-0.003,0.032,,,,,,
707,118284.0,0.005,-0.003,0.032,,,,,,
708,118294.0,0.004,-0.003,0.032,,,,,,
709,118304.0,0.004,-0.003,0.033,,,,,,
710,118314.0,0.004,-0.003,0.033,,,,,,
711,118324.0,0.006,-0.003,0.033,,,,,,
712,118334.0,0.006,-0.003,0.033,,,,,,
713,118344.0,0.006,-0.003,0.032,,,,,,
714,118354.0,0.005,-0.003,0.033,,,,,,
715,118364.0,0.005,-0.003,0.033,,,,,,
716,118374.0,0.006,-0.003,0.033,,,,,,
717,118384.0,0.006,-0.003,0.033,,,,,,
718,118394.0,0.005,-0.004,0.033,,,,,,
719,118404.0,0.005,-0.003,0.033,,,,,,
720,118414.0,0.005,-0.003,0.033,,,,,,
721,118424.0,0.004,-0.003,0.034,,,,,,
722,118434.0,0.005,-0.003,0.033,,,,,,
723,118444.0,0.005,-0.003,0.033,,,,,,
724,118454.0,0.005,-0.003,0.033,,,,,,
725,118464.0,0.005,-0.003,0.033,,,,,,
726,118474.0,0.005,-0.003,0.032,,,,,,
727,118484.0,0.004,-0.003,0.032,,,,,,
728,118494.0,0.004,-0.003,0.033,,,,,,
729,118504.0,0.005,-0.003,0.033,,,,,,
730,118514.0,0.005,-0.003,0.033,,,,,,
731,118524.0,0.004,-0.003,0.033,,,,,,
732,118534.0,0.004,-0.003,0.033,,,,,,
733,118544.0,0.005,-0.003,0.033,,,,,,
734,118554.0,0.005,-0.003,0.033,,,,,,
735,118564.0,0.004,-0.003,0.032,,,,,,
736,118574.0,0.003,-0.003,0.032,,,,,,
737,118584.0,0.003,-0.003,0.032,,,,,,
738,118594.0,0.004,-0.003,0.032,,,,,,
739,118604.0,0.003,-0.003,0.032,,,,,,
740,118614.0,0.003,-0.003,0.032,,,,,,
741,118624.0,0.004,-0.003,0.033,,,,,,
742,118634.0,0.003,-0.003,0.033,,,,,,
743,118644.0,0.003,-0.003,0.033,,,,,,
744,118654.0,0.004,-0.003,0.033,,,,,,
745,118664.0,0.004,-0.003,0.033,,,,,,
746,118674.0,0.006,-0.004,0.033,,,,,,
747,118684.0,0.005,-0.004,0.033,,,,,,
748,118694.0,0.005,-0.004,0.033,,,,,,
749,118704.0,0.005,-0.004,0.033,,,,,,
750,118714.0,0.005,-0.004,0.033,,,,,,
751,118724.0,0.004,-0.003,0.033,,,,,,
752,118734.0,0.006,-0.003,0.033,,,,,,
753,118744.0,0.006,-0.003,0.032,,,,,,
754,118754.0,0.005,-0.003,0.032,,,,,,
755,118764.0,0.004,-0.003,0.032,,,,,,
